 377254 173370 1187.87953   58   13 1189.52852 1168.38126  1.78%  16.4  745s
 379465 173922 1179.55700   54   25 1189.52852 1168.39569  1.78%  16.4  750s
 381049 174302 infeasible   61      1189.52852 1168.40548  1.78%  16.4  755s
 382317 174670 1185.10491   52   25 1189.52852 1168.41327  1.78%  16.4  760s
 383180 174910 1177.05368   56   17 1189.52852 1168.41872  1.77%  16.4  765s
 384689 175347 infeasible   59      1189.52852 1168.42940  1.77%  16.4  770s
 385866 175697 1173.67651   42   18 1189.52852 1168.43777  1.77%  16.4  775s
 387029 175929     cutoff   39      1189.52852 1168.44404  1.77%  16.4  781s
 387727 176122 1175.00470   34   12 1189.52852 1168.44948  1.77%  16.4  785s
 388899 176465 1182.06297   51   30 1189.52852 1168.45655  1.77%  16.4  790s
 390104 176736 infeasible   41      1189.52852 1168.46608  1.77%  16.5  795s
 391304 177043 1179.82709   36   25 1189.52852 1168.47267  1.77%  16.5  801s
 392276 177362 infeasible   67      1189.52852 1168.47763  1.77%  16.5  805s
 393402 177654 1174.15886   43   17 1189.52852 1168.48537  1.77%  16.5  810s
 394261 177859 1173.26295   39   27 1189.52852 1168.49032  1.77%  16.5  815s
 395438 178263 1180.54263   49   30 1189.52852 1168.49599  1.77%  16.5  820s
 396579 178651 infeasible   55      1189.52852 1168.50204  1.77%  16.5  826s
 397551 178811 infeasible   47      1189.52852 1168.50859  1.77%  16.5  830s
 398758 179109 1176.89218   57   26 1189.52852 1168.51946  1.77%  16.5  835s
 399963 179358 1174.62789   45   28 1189.52852 1168.52872  1.77%  16.5  840s
 400957 179626 1184.40204   59   16 1189.52852 1168.53665  1.76%  16.5  845s
 402195 179942 1176.65240   52   29 1189.52852 1168.54671  1.76%  16.5  851s
 403161 180371 1172.44626   39   22 1189.52852 1168.54865  1.76%  16.5  855s
 404455 180904 1172.31040   43   15 1189.52852 1168.54865  1.76%  16.6  860s
 405614 181461 1169.00732   33   17 1189.52852 1168.54865  1.76%  16.6  866s
 406171 181764 1169.64027   38    8 1189.52852 1168.54865  1.76%  16.6  870s
 407202 182243 infeasible   43      1189.52852 1168.54865  1.76%  16.6  876s
 408094 182648 1180.02230   48   23 1189.52852 1168.54865  1.76%  16.6  880s
 409285 183237 1175.79623   51   29 1189.52852 1168.54865  1.76%  16.6  886s
 410126 183731 1176.28223   51   30 1189.52852 1168.54865  1.76%  16.6  890s
 411280 184383 1182.53942   40   17 1189.52852 1168.54865  1.76%  16.6  896s
 412141 184906 1179.88635   63   26 1189.52852 1168.54865  1.76%  16.6  901s
 413064 185394 1170.59240   38   26 1189.52852 1168.54865  1.76%  16.6  905s
 413691 185789 1183.57307   47   23 1189.52852 1168.54865  1.76%  16.6  910s
 414880 186244 1180.75841   61   25 1189.52852 1168.55181  1.76%  16.6  916s
 415843 186490 infeasible   52      1189.52852 1168.55686  1.76%  16.6  920s
 417055 186876 1173.41475   34   24 1189.52852 1168.56319  1.76%  16.6  925s
 417929 187150 1181.49681   59   26 1189.52852 1168.56945  1.76%  16.6  931s
 418872 187359 1174.33175   37   23 1189.52852 1168.57627  1.76%  16.6  935s
 420217 187781 1172.87364   41   31 1189.52852 1168.58367  1.76%  16.6  940s
 421124 188013 infeasible   38      1189.52852 1168.59083  1.76%  16.6  946s
 421990 188265 1174.12096   31   33 1189.52852 1168.59492  1.76%  16.6  951s
 423268 188610 1184.04312   42   20 1189.52852 1168.60529  1.76%  16.6  955s
 423966 188862 1176.78517   58   19 1189.52852 1168.61112  1.76%  16.6  960s
 425243 189201 infeasible   45      1189.52852 1168.61948  1.76%  16.7  965s
 426468 189625     cutoff   50      1189.52852 1168.62701  1.76%  16.7  970s
 428001 190075 1181.27919   57   32 1189.52852 1168.63828  1.76%  16.7  976s
 428914 190373 1177.77975   48   28 1189.52852 1168.64377  1.76%  16.7  980s
 430170 190746 infeasible   39      1189.52852 1168.65406  1.75%  16.7  985s
 431129 190955 1184.68016   39   24 1189.52852 1168.66276  1.75%  16.7  991s
 432010 191174 infeasible   57      1189.52852 1168.67013  1.75%  16.7  996s
